transaction_id,difficulty,cascade_id
txn-02355,,
txn-01587,,
txn-01569,,
txn-01302,,
txn-01594,,
txn-02536,,
txn-00146,,
txn-00613,,
txn-02709,,
txn-01454,,
txn-01883,,
txn-00922,,
txn-02535,,
txn-00743,,
txn-01399,,
txn-01979,,
txn-00400,,
txn-01260,,
txn-00078,,
txn-01763,,
txn-02958,,
txn-01768,,
txn-02068,,
txn-00754,,
txn-00727,,
txn-01864,,
txn-00050,,
txn-00463,,
txn-00578,,
txn-01532,,
txn-01482,,
txn-01735,,
txn-00737,,
txn-01618,,
txn-00339,,
txn-00839,,
txn-01488,,
txn-00954,,
txn-02917,,
txn-00759,,
txn-01365,,
txn-01035,,
txn-00482,,
txn-02312,,
txn-01943,,
txn-01899,,
txn-02588,,
txn-01218,,
txn-00599,,
txn-01830,,
txn-00357,,
txn-00188,,
txn-02787,,
txn-01211,,
txn-02477,,
txn-02139,,
txn-02463,,
txn-01547,,
txn-01702,,
txn-01215,,
txn-00238,,
txn-00854,,
txn-01291,,
txn-02596,,
txn-02884,,
txn-02271,,
txn-02270,,
txn-02653,,
txn-01581,,
txn-01734,,
txn-01578,,
txn-01586,,
txn-02263,,
txn-02308,,
txn-00349,,
txn-02087,,
txn-01561,,
txn-00528,,
txn-02660,,
txn-00425,,
txn-01489,,
txn-00300,,
txn-02342,,
txn-00063,,
txn-02811,,
txn-02339,,
txn-00076,,
txn-02305,,
txn-02876,,
txn-01279,,
txn-00585,,
txn-00548,,
txn-02045,,
txn-00871,,
txn-00312,,
txn-02897,,
txn-00065,,
txn-01723,,
txn-02327,,
txn-01196,,
txn-00929,,
txn-02717,,
txn-01342,,
txn-01247,,
txn-00936,,
txn-02360,,
txn-02872,,
txn-02901,,
txn-01742,,
txn-00031,,
txn-01372,,
txn-01801,,
txn-02558,,
txn-01662,,
txn-00126,,
txn-00440,,
txn-02814,,
txn-02055,,
txn-02756,,
txn-02130,,
txn-01060,,
txn-00586,,
txn-01804,,
txn-01806,,
txn-01728,,
txn-02760,,
txn-02458,,
txn-00265,,
txn-00895,,
txn-01834,,
txn-02363,,
txn-00605,,
txn-00833,,
txn-00992,,
txn-02244,,
txn-02390,,
txn-02869,,
txn-02559,,
txn-00616,,
txn-00368,,
txn-00476,,
txn-00669,,
txn-02039,,
txn-01065,,
txn-01105,,
txn-02655,,
txn-02153,,
txn-02230,,
txn-01447,,
txn-02387,,
txn-00264,,
txn-02554,,
txn-02639,,
txn-02251,,
txn-01406,,
txn-01402,,
txn-01033,,
txn-01953,,
txn-02222,,
txn-01009,,
txn-01567,,
txn-01278,,
txn-00624,,
txn-01237,,
txn-02647,,
txn-00606,,
txn-01620,,
txn-02842,,
txn-00301,,
txn-02396,,
txn-02143,,
txn-00565,,
txn-00546,,
txn-00042,,
txn-00093,,
txn-00326,,
txn-02485,,
txn-01849,,
txn-01115,,
txn-01750,,
txn-00778,,
txn-02722,,
txn-02438,,
txn-01189,,
txn-01335,,
txn-00486,,
txn-01123,,
txn-02943,,
txn-00837,,
txn-00388,,
txn-00526,,
txn-00569,,
txn-01800,,
txn-00584,,
txn-02467,,
txn-01571,,
txn-01520,,
txn-00571,,
txn-00025,,
txn-02676,,
txn-00596,,
txn-02725,,
txn-02793,,
txn-02245,,
txn-01287,,
txn-00520,,
txn-00379,,
txn-01913,,
txn-02203,,
txn-02440,,
txn-00498,,
txn-00199,,
txn-01226,,
txn-01839,,
txn-02747,,
txn-02860,,
txn-00317,,
txn-00255,,
txn-02425,,
txn-02364,,
txn-00679,,
txn-00405,,
txn-02922,,
txn-02549,,
txn-00189,,
txn-01493,,
txn-01692,,
txn-01418,,
txn-01749,,
txn-02052,,
txn-02695,,
txn-01952,,
txn-00193,,
txn-03001,level_1,cascade-00
txn-03018,level_1,cascade-00
txn-03009,level_1,cascade-00
txn-03002,level_1,cascade-00
txn-03016,level_1,cascade-00
txn-03025,level_1,cascade-00
txn-03024,level_1,cascade-00
txn-03008,level_1,cascade-00
txn-01508,,
txn-03003,level_1,cascade-00
txn-03023,level_1,cascade-00
txn-03017,level_1,cascade-00
txn-03011,level_1,cascade-00
txn-03010,level_1,cascade-00
txn-03020,level_1,cascade-00
txn-03019,level_1,cascade-00
txn-03022,level_1,cascade-00
txn-03014,level_1,cascade-00
txn-03004,level_1,cascade-00
txn-03013,level_1,cascade-00
txn-03012,level_1,cascade-00
txn-03006,level_1,cascade-00
txn-03015,level_1,cascade-00
txn-03005,level_1,cascade-00
txn-03007,level_1,cascade-00
txn-03021,level_1,cascade-00
txn-00014,,
txn-01080,,
txn-02146,,
txn-02979,,
txn-01925,,
txn-02487,,
txn-01393,,
txn-00225,,
txn-02544,,
txn-00741,,
txn-00026,,
txn-02827,,
txn-00822,,
txn-00464,,
txn-01022,,
txn-01361,,
txn-01842,,
txn-01478,,
txn-02580,,
txn-02223,,
txn-01680,,
txn-00541,,
txn-01606,,
txn-00987,,
txn-01877,,
txn-01319,,
txn-02419,,
txn-00172,,
txn-01209,,
txn-01136,,
txn-01194,,
txn-00967,,
txn-00275,,
txn-01985,,
txn-01304,,
txn-01649,,
txn-00216,,
txn-01716,,
txn-01819,,
