transaction_id,customer_id,device_id,ip,payment_instrument,address,amount,timestamp,label
txn-01220,customer-0011,device-1072,198.51.100.209,card-1553,address-0280,180.25,2025-01-01T00:06:00,normal
txn-00036,customer-0941,device-1227,198.51.100.83,card-1001,address-0040,20.22,2025-01-01T00:37:00,normal
txn-02711,customer-0598,device-1001,198.51.100.224,card-0507,address-0968,26.26,2025-01-01T01:05:00,normal
txn-00719,customer-0098,device-0438,198.51.100.123,card-0160,address-0272,35.29,2025-01-01T01:11:00,normal
txn-00838,customer-0738,device-0099,198.51.100.99,card-0898,address-1501,23.36,2025-01-01T01:23:00,normal
txn-00707,customer-0596,device-0191,198.51.100.188,card-0939,address-1301,19.45,2025-01-01T02:42:00,normal
txn-02501,customer-0371,device-0417,198.51.100.218,card-0036,address-0743,64.77,2025-01-01T03:07:00,normal
txn-02705,customer-0752,device-0194,198.51.100.48,card-1031,address-1435,52.57,2025-01-01T03:23:00,normal
txn-02034,customer-0488,device-0020,198.51.100.173,card-0356,address-0847,62.09,2025-01-01T04:40:00,normal
txn-01076,customer-0173,device-0642,198.51.100.64,card-1610,address-0454,32.43,2025-01-01T05:16:00,normal
txn-02734,customer-0314,device-0882,198.51.100.91,card-1353,address-0002,25.23,2025-01-01T05:33:00,normal
txn-02800,customer-0915,device-0737,198.51.100.199,card-0836,address-1164,54.36,2025-01-01T05:43:00,normal
txn-02762,customer-0960,device-0994,198.51.100.160,card-1409,address-0412,26.5,2025-01-01T07:02:00,normal
txn-00635,customer-0312,device-0811,198.51.100.86,card-1724,address-1271,23.15,2025-01-01T07:23:00,normal
txn-01130,customer-0533,device-0769,198.51.100.168,card-0421,address-1409,55.35,2025-01-01T07:51:00,normal
txn-02263,customer-0979,device-1363,198.51.100.150,card-1617,address-0086,99.81,2025-01-01T07:53:00,normal
txn-02601,customer-0406,device-0768,198.51.100.201,card-0459,address-1040,13.2,2025-01-01T08:18:00,normal
txn-00470,customer-0550,device-0221,198.51.100.111,card-0275,address-0542,30.74,2025-01-01T08:55:00,normal
txn-01331,customer-0671,device-0137,198.51.100.100,card-1353,address-0556,120.9,2025-01-01T09:06:00,normal
txn-00899,customer-0699,device-0971,198.51.100.234,card-0271,address-1326,97.93,2025-01-01T09:43:00,normal
txn-00593,customer-0155,device-0448,198.51.100.130,card-0934,address-0765,61.03,2025-01-01T09:59:00,normal
txn-02299,customer-0405,device-1103,198.51.100.219,card-0944,address-0648,68.22,2025-01-01T10:02:00,normal
txn-00774,customer-0899,device-0687,198.51.100.1,card-1555,address-1347,84.11,2025-01-01T10:28:00,normal
txn-02650,customer-0126,device-0653,198.51.100.177,card-0023,address-1469,80.36,2025-01-01T10:31:00,normal
txn-01164,customer-0549,device-0540,198.51.100.64,card-0589,address-0191,15.34,2025-01-01T10:37:00,normal
txn-02361,customer-0281,device-0201,198.51.100.97,card-0456,address-0776,22.89,2025-01-01T10:46:00,normal
txn-00653,customer-0109,device-0202,198.51.100.67,card-0455,address-1046,37.53,2025-01-01T11:31:00,normal
txn-01529,customer-0561,device-1378,198.51.100.3,card-1704,address-0140,32.53,2025-01-01T11:33:00,normal
txn-02176,customer-0039,device-0514,198.51.100.30,card-1453,address-0280,173.85,2025-01-01T11:43:00,normal
txn-02182,customer-0782,device-1388,198.51.100.70,card-0315,address-0903,35.43,2025-01-01T12:14:00,normal
txn-01305,customer-0951,device-1299,198.51.100.200,card-1295,address-0784,63.35,2025-01-01T12:29:00,normal
txn-02614,customer-0448,device-1288,198.51.100.198,card-1216,address-0314,44.51,2025-01-01T12:36:00,normal
txn-02470,customer-0828,device-1236,198.51.100.26,card-0774,address-0787,39.01,2025-01-01T12:52:00,normal
txn-00596,customer-0422,device-0035,198.51.100.136,card-1480,address-0563,32.09,2025-01-01T12:56:00,normal
txn-00794,customer-0125,device-0127,198.51.100.213,card-1600,address-0456,19.49,2025-01-01T13:03:00,normal
txn-01388,customer-0260,device-0940,198.51.100.128,card-1752,address-1022,123.34,2025-01-01T13:20:00,normal
txn-01014,customer-0828,device-1071,198.51.100.28,card-0052,address-0781,28.56,2025-01-01T13:56:00,normal
